Date	Time	Event	Length	Data
2026/01/13	02:01:05.024			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.MF => [45.0, 5.0, 0.0, 2.0, 600.0000610351562, 3.0, 25.0, 5.0, 25.0, 0.0, 0.0, 0.0, 0.0, -50.0, 0.0, 30.0, 30.0, 600.0, 1.194640759649701e-07, 0.20650000870227814, 0.0, 0.0, 0.0, 0.20650000870227814, 0.0]
2026/01/13	02:01:05.024			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.Tag1 => 45.0
2026/01/13	02:01:05.503	TX FC1	12	00 21 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:05.536	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:05.548	RX FC1	10	00 01 00 00 00 04 01 01 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:05.548	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:05.548	RX FC1	2	01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:06.559	TX FC2	12	00 23 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:06.590	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:06.603	RX FC2	10	00 01 00 00 00 04 01 02 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:06.603	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:06.603	RX FC2	2	01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:06.920	TX FC6	12	00 25 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:06.920	TX FC6	12	00 01 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:06.921	RX FC106	4	00 6A 00 00   (unit=0)
2026/01/13	02:01:06.922			OPC: TX: OPC->Modbus WRITE_OK: Channel2.Device1.MF
2026/01/13	02:01:07.056			OPC: TX: OPC->Modbus WRITE_CALL: Channel2.Device1.MF => [3.0, 25.0, 5.0, 25.0, 0.0, 0.0, 0.0, 0.0, -100.0, 0.0, 30.0, 30.0]
2026/01/13	02:01:07.071	TX FC16	17	00 26 00 00 00 0B 01 10 00 5F 00 02 04 42 34 00 00   (unit=1)
2026/01/13	02:01:07.071	TX FC16	17	00 01 00 00 00 0B 01 10 00 5F 00 02 04 42 34 00 00   (unit=1)
2026/01/13	02:01:07.072			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.Tag1
2026/01/13	02:01:07.151	TX FC6	12	00 27 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:07.152	TX FC6	12	00 01 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:07.153			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.MF
2026/01/13	02:01:07.256			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.MF => [50.0, 5.0, 0.0, 2.0, 600.0000610351562, 3.0, 25.0, 5.0, 25.0, 0.0, 0.0, 0.0, 0.0, -50.0, 0.0, 30.0, 30.0, 600.0, 1.194640759649701e-07, 0.20569999516010284, 0.0, 0.0, 0.0, 0.20569999516010284, 0.0]
2026/01/13	02:01:07.256			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.Tag1 => 50.0
2026/01/13	02:01:07.614	TX FC3	12	00 28 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:07.645	TX FC3	12	00 01 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:07.657	RX FC3	57	00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:07.657	TX FC3	12	00 01 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:07.657	RX FC3	49	30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:08.697	TX FC1	12	00 2A 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:08.728	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:08.744	RX FC1	10	00 01 00 00 00 04 01 01 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:08.744	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:08.744	RX FC1	2	01 00   (unit=1, host=192.168.25.10, port=502)
