時間	通訊碼
01:06:32.636	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:33.299	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:33.305	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 12 05 3E 54 00 00 00 00 00 00 00 00 00 00 00 00 12 05 3E 54 00 00 00 00 |
01:06:33.440	WRITE_CALL: FC16 addr=95 values=0000 4234
01:06:33.441	TX: | 00 01 00 00 00 0B 01 10 00 5F 00 02 04 00 00 42 34 |
01:06:33.482	RX: | 00 01 00 00 00 06 01 10 00 5F 00 02 |
01:06:33.672	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:33.686	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:34.315	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:34.320	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 12 05 3E 54 00 00 00 00 00 00 00 00 00 00 00 00 12 05 3E 54 00 00 00 00 |
01:06:34.715	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:34.737	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:35.366	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:35.372	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 46 73 3E 54 00 00 00 00 00 00 00 00 00 00 00 00 46 73 3E 54 00 00 00 00 |
01:06:35.754	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:35.766	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:36.385	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:36.395	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 7A E0 3E 54 00 00 00 00 00 00 00 00 00 00 00 00 7A E0 3E 54 00 00 00 00 |
01:06:36.797	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:36.810	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:37.435	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:37.475	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA C9 86 3E 54 00 00 00 00 00 00 00 00 00 00 00 00 C9 86 3E 54 00 00 00 00 |
01:06:37.852	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:37.865	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:38.550	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:38.588	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA E3 BD 3E 54 00 00 00 00 00 00 00 00 00 00 00 00 E3 BD 3E 54 00 00 00 00 |
01:06:38.890	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:38.903	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:39.653	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:39.659	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA F7 CE 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 F7 CE 3E 53 00 00 00 00 |
01:06:39.931	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:39.945	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:40.707	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:40.714	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA F7 CE 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 F7 CE 3E 53 00 00 00 00 |
01:06:40.986	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:41.000	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:41.737	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
